epoch,mean_gap_bks,ta51,ta52,ta53,ta54,ta55,ta56,ta57,ta58,ta59,elapsed_s
1,31.0031,28.2971,27.0682,29.4074,22.6488,32.3628,35.8864,27.4550,34.6967,41.2053,481.4
10,20.5612,23.6232,21.0087,21.9728,18.8094,23.3296,19.2017,15.3585,21.1438,20.6026,4834.4
20,20.4104,22.7174,18.4325,17.3353,14.7235,23.8522,18.3747,20.4213,23.0156,24.8211,9791.3
30,21.5792,27.1377,23.4398,17.1513,21.8739,23.8149,18.1589,13.1838,30.8839,18.5687,14759.7
40,19.2753,21.9203,23.4761,15.2006,13.7372,23.0310,22.7616,11.9606,20.0347,21.3559,19761.3
50,22.0008,20.2536,26.8142,19.5068,16.0268,19.8582,19.9209,21.1689,22.6690,31.7891,24768.8
60,21.7610,25.0362,23.0769,21.1630,20.6411,20.4927,20.7479,20.1495,18.4402,26.1017,29756.9
70,20.1331,28.7319,17.9971,18.9915,15.0757,20.6794,17.9432,13.8294,23.8821,24.0678,34729.0
80,22.6646,23.1159,32.4020,26.9783,9.7217,24.7107,14.4193,17.2613,26.8977,28.4746,39715.2
90,25.3828,28.4783,20.6096,20.6478,44.6988,24.2628,19.1298,21.3388,20.2773,29.0019,44724.2
100,22.8783,24.7826,18.8316,12.4034,23.0363,28.9287,26.3215,22.3581,22.8769,26.3653,49725.6
110,21.5463,27.5362,19.4122,22.4512,16.6608,25.6812,17.7994,17.8050,20.2426,26.3277,54749.9
120,23.0697,27.7174,29.5356,16.0839,19.6196,27.3610,22.2222,20.3194,19.3068,25.4614,59782.9
130,20.8990,21.9928,25.6168,14.9430,13.5963,33.9679,17.5836,19.7418,19.8960,20.7533,64812.6
140,19.2259,20.6522,14.2961,20.7950,22.5431,21.5752,18.5185,16.0720,18.9948,19.5857,69835.9
150,22.3941,21.4855,20.3193,19.2860,18.9503,22.9937,21.8267,30.5471,21.3172,24.8211,74859.1
160,23.2866,26.9565,20.2830,24.2547,20.1479,24.7854,28.4070,17.9069,23.6742,23.1638,79854.4
170,20.4230,25.6522,20.0653,17.0409,17.3300,24.6734,22.2941,20.0476,15.8752,20.8286,84884.2
180,21.3759,26.2319,18.4688,17.7033,18.9151,20.2688,20.7120,25.8919,20.3120,23.8795,89895.8
190,21.2941,25.3623,30.5515,13.9124,21.8387,20.8660,20.4243,21.3048,12.3397,25.0471,94914.0
