epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,37.5427,1.0000,31.5212,38.5132,39.3824,44.3153,34.6520,32.3852,37.4801,34.0733,45.5612,318.7
5,38.0899,1.0000,33.3666,37.0160,31.3109,34.0576,43.3150,50.2495,41.1329,44.6567,27.7041,1613.8
10,33.6770,0.2500,27.0823,34.1766,37.5406,30.5205,30.4457,36.7764,37.9566,36.7062,31.8878,3175.9
15,38.0488,0.2500,35.2618,29.6851,37.0531,41.9909,40.4607,45.3593,38.7507,43.4693,30.4082,4758.7
20,34.1559,0.2500,34.7132,47.1347,32.1777,38.6559,25.6885,35.0798,26.8925,36.4481,30.6122,6316.4
25,32.5969,0.2500,30.9227,34.3314,29.7941,25.2148,32.8493,30.9381,41.0799,32.7827,35.4592,8471.5
30,30.9982,0.2500,32.3691,34.8477,30.7151,37.1400,22.3335,39.3713,26.9984,30.8725,24.3367,10663.0
35,37.0447,0.2500,49.7257,38.2034,35.1571,33.5523,40.7611,38.3733,40.7094,24.4708,32.4490,12859.4
40,34.6347,0.2500,26.0349,40.8880,32.5027,28.3477,30.9965,44.5110,38.4330,39.0294,30.9694,15043.4
45,34.4945,0.2500,33.5661,30.8725,30.7692,38.7569,30.7962,36.2275,33.3510,46.8766,29.2347,17187.1
50,38.7326,0.2500,30.2743,35.8286,41.7660,39.8181,36.6049,45.6587,27.2631,35.0026,56.3776,19060.7
55,36.5045,0.2500,30.6733,30.0465,58.2340,36.7863,25.6885,46.9062,27.3690,37.3774,35.4592,21253.6
60,37.2657,0.2500,27.2818,38.0485,47.2373,34.6134,28.8933,34.7804,36.2096,53.0718,35.2551,23421.1
65,35.1728,0.2500,22.9925,35.2607,48.6457,34.0576,45.6184,38.7725,40.1271,22.5607,28.5204,25562.5
70,36.3232,0.2500,37.2569,32.3696,36.3489,45.3765,20.1302,35.3293,36.0508,44.8632,39.1837,27307.3
75,36.6782,0.2500,24.4888,37.4290,41.4951,28.6508,33.4502,47.8543,33.9862,47.3412,35.4082,29429.3
80,37.8064,0.2500,30.4239,47.2896,40.7367,38.8580,22.2334,52.8942,33.8274,36.0351,37.9592,31475.3
85,36.9980,0.2500,33.5661,34.0217,43.3911,45.8312,26.5398,46.4072,34.1980,47.5478,21.4796,33694.9
90,34.3927,0.2500,30.4239,29.9948,35.8613,39.7676,28.0921,32.1357,36.0508,44.7083,32.5000,35394.8
95,42.4924,0.2500,32.4688,36.3965,47.7248,53.6129,41.5623,54.2914,35.3097,34.2798,46.7857,37302.5
100,34.1753,0.2500,38.2045,35.2607,35.8613,28.9035,25.1377,36.7764,37.3213,48.6835,21.4286,39493.0
105,35.7851,0.2500,45.6359,32.0599,50.0542,28.8024,22.0330,42.9142,38.5918,42.1786,19.7959,41311.9
110,36.3035,0.2500,31.3217,33.1957,47.2914,30.3689,32.6990,31.3373,38.4330,42.8498,39.2347,42919.6
115,34.5544,0.2500,30.7731,28.9107,43.9870,27.2360,37.7066,35.8283,29.4865,40.8880,36.1735,44547.8
120,39.5379,0.2500,36.3092,39.9071,46.8039,35.7756,31.3470,51.2974,41.6093,46.5669,26.2245,46494.0
125,37.7510,0.2500,35.7107,39.2876,33.0444,37.2916,31.9980,45.9082,35.0450,51.6262,29.8469,48638.3
130,36.9913,0.2500,33.5162,41.3010,40.3575,27.4381,25.0876,39.5210,30.9158,55.5498,39.2347,50799.5
135,41.6584,0.2500,47.6309,37.4290,59.6966,40.1213,32.0981,41.3673,43.4621,35.4672,37.6531,52507.4
140,42.7095,0.2500,40.5486,50.4904,54.8754,25.3663,41.0616,65.5190,28.3748,51.0067,27.1429,54231.0
145,38.6116,0.2500,32.7681,35.7770,40.8992,34.3103,24.5869,48.9521,40.6564,44.6567,44.8980,56303.2
150,39.2687,0.2500,34.4638,41.8172,50.1083,30.3183,28.6430,60.8283,51.4558,32.0083,23.7755,58093.0
155,38.8745,0.2500,24.9377,33.1440,32.7736,50.0758,38.8082,34.2814,52.6204,40.4233,42.8061,59924.3
160,34.4648,0.2500,28.4788,29.6851,34.7779,37.4937,27.6915,37.1257,34.6215,43.7274,36.5816,61767.4
165,36.7064,0.2500,28.6783,27.5168,45.5580,36.7863,35.4532,48.1038,34.0921,24.8838,49.2857,63623.0
170,39.0138,0.2500,32.1696,39.1843,54.8212,37.8474,45.0175,34.3812,26.5749,35.2607,45.8673,65769.0
175,38.9440,0.2500,32.8180,40.7847,56.3922,26.2759,27.9920,41.6168,32.3981,58.5958,33.6224,67436.3
180,37.6329,0.2500,35.3616,37.6355,36.6197,33.3502,33.1497,44.4112,43.5680,26.7940,47.8061,69015.4
