iteration,makespan,bks,optimality gap
1,3029.60,Dynamic,0.00
2,3062.32,Dynamic,0.00
3,3027.50,Dynamic,0.00
4,2999.16,Dynamic,0.00
5,3016.98,Dynamic,0.00
6,2992.74,Dynamic,0.00
7,2946.69,Dynamic,0.00
8,2956.55,Dynamic,0.00
9,2990.12,Dynamic,0.00
10,2957.61,Dynamic,0.00
11,2947.26,Dynamic,0.00
12,2948.02,Dynamic,0.00
13,2997.27,Dynamic,0.00
14,2982.31,Dynamic,0.00
15,2928.61,Dynamic,0.00
16,2926.99,Dynamic,0.00
17,2938.70,Dynamic,0.00
18,2944.67,Dynamic,0.00
19,2942.14,Dynamic,0.00
20,2929.71,Dynamic,0.00
21,2900.68,Dynamic,0.00
22,2907.57,Dynamic,0.00
23,2900.42,Dynamic,0.00
24,2907.57,Dynamic,0.00
25,2877.70,Dynamic,0.00
26,2877.97,Dynamic,0.00
27,2864.54,Dynamic,0.00
28,2888.92,Dynamic,0.00
29,2869.15,Dynamic,0.00
30,2852.93,Dynamic,0.00
31,2864.20,Dynamic,0.00
32,2813.92,Dynamic,0.00
33,2819.11,Dynamic,0.00
34,2846.24,Dynamic,0.00
35,2893.73,Dynamic,0.00
36,2840.22,Dynamic,0.00
37,2844.85,Dynamic,0.00
38,2830.33,Dynamic,0.00
39,2822.30,Dynamic,0.00
40,2864.88,Dynamic,0.00
41,2826.89,Dynamic,0.00
42,2824.13,Dynamic,0.00
43,2825.86,Dynamic,0.00
44,2794.41,Dynamic,0.00
45,2796.85,Dynamic,0.00
46,2790.33,Dynamic,0.00
47,2801.02,Dynamic,0.00
48,2787.59,Dynamic,0.00
49,2753.91,Dynamic,0.00
50,2752.42,Dynamic,0.00
51,2797.79,Dynamic,0.00
52,2820.90,Dynamic,0.00
53,2796.38,Dynamic,0.00
54,2791.69,Dynamic,0.00
55,2779.89,Dynamic,0.00
56,2750.39,Dynamic,0.00
57,2744.44,Dynamic,0.00
58,2784.30,Dynamic,0.00
59,2804.60,Dynamic,0.00
60,2775.20,Dynamic,0.00
61,2760.76,Dynamic,0.00
62,2790.54,Dynamic,0.00
63,2786.19,Dynamic,0.00
64,2792.62,Dynamic,0.00
65,2775.59,Dynamic,0.00
66,2776.03,Dynamic,0.00
67,2776.75,Dynamic,0.00
68,2727.57,Dynamic,0.00
69,2751.69,Dynamic,0.00
70,2761.37,Dynamic,0.00
71,2751.97,Dynamic,0.00
72,2742.87,Dynamic,0.00
73,2713.54,Dynamic,0.00
74,2735.93,Dynamic,0.00
75,2746.91,Dynamic,0.00
76,2731.62,Dynamic,0.00
77,2739.21,Dynamic,0.00
78,2724.85,Dynamic,0.00
79,2760.94,Dynamic,0.00
80,2730.07,Dynamic,0.00
81,2734.19,Dynamic,0.00
82,2750.32,Dynamic,0.00
83,2725.70,Dynamic,0.00
84,2719.90,Dynamic,0.00
85,2730.65,Dynamic,0.00
86,2722.46,Dynamic,0.00
87,2728.74,Dynamic,0.00
88,2733.40,Dynamic,0.00
89,2695.28,Dynamic,0.00
90,2682.63,Dynamic,0.00
91,2693.60,Dynamic,0.00
92,2701.66,Dynamic,0.00
93,2689.19,Dynamic,0.00
94,2687.89,Dynamic,0.00
95,2675.55,Dynamic,0.00
96,2661.55,Dynamic,0.00
97,2683.30,Dynamic,0.00
98,2682.53,Dynamic,0.00
99,2679.19,Dynamic,0.00
100,2664.11,Dynamic,0.00
101,2694.18,Dynamic,0.00
102,2723.11,Dynamic,0.00
103,2692.79,Dynamic,0.00
104,2695.83,Dynamic,0.00
105,2685.13,Dynamic,0.00
106,2679.84,Dynamic,0.00
107,2699.63,Dynamic,0.00
108,2691.46,Dynamic,0.00
109,2699.27,Dynamic,0.00
110,2656.98,Dynamic,0.00
111,2688.21,Dynamic,0.00
112,2710.78,Dynamic,0.00
113,2635.69,Dynamic,0.00
114,2677.77,Dynamic,0.00
115,2652.91,Dynamic,0.00
116,2662.93,Dynamic,0.00
117,2659.12,Dynamic,0.00
118,2664.84,Dynamic,0.00
119,2694.68,Dynamic,0.00
120,2695.62,Dynamic,0.00
121,2711.96,Dynamic,0.00
122,2686.42,Dynamic,0.00
123,2678.44,Dynamic,0.00
124,2673.36,Dynamic,0.00
125,2669.43,Dynamic,0.00
126,2697.12,Dynamic,0.00
127,2693.66,Dynamic,0.00
128,2656.84,Dynamic,0.00
129,2659.52,Dynamic,0.00
130,2671.51,Dynamic,0.00
131,2656.80,Dynamic,0.00
132,2668.57,Dynamic,0.00
133,2660.44,Dynamic,0.00
134,2662.95,Dynamic,0.00
135,2642.64,Dynamic,0.00
136,2649.22,Dynamic,0.00
137,2636.98,Dynamic,0.00
138,2647.08,Dynamic,0.00
139,2638.21,Dynamic,0.00
140,2640.25,Dynamic,0.00
141,2671.92,Dynamic,0.00
142,2634.87,Dynamic,0.00
143,2623.59,Dynamic,0.00
144,2614.44,Dynamic,0.00
145,2601.54,Dynamic,0.00
146,2606.76,Dynamic,0.00
147,2623.43,Dynamic,0.00
148,2602.62,Dynamic,0.00
149,2604.89,Dynamic,0.00
150,2609.60,Dynamic,0.00
151,2612.32,Dynamic,0.00
152,2617.47,Dynamic,0.00
153,2618.63,Dynamic,0.00
154,2617.95,Dynamic,0.00
155,2636.80,Dynamic,0.00
156,2628.76,Dynamic,0.00
157,2592.23,Dynamic,0.00
158,2576.15,Dynamic,0.00
159,2601.48,Dynamic,0.00
160,2606.44,Dynamic,0.00
161,2605.68,Dynamic,0.00
162,2596.32,Dynamic,0.00
163,2609.17,Dynamic,0.00
164,2639.80,Dynamic,0.00
165,2634.19,Dynamic,0.00
166,2609.25,Dynamic,0.00
167,2625.51,Dynamic,0.00
168,2588.56,Dynamic,0.00
169,2573.77,Dynamic,0.00
170,2559.86,Dynamic,0.00
171,2557.69,Dynamic,0.00
172,2548.37,Dynamic,0.00
173,2562.74,Dynamic,0.00
174,2568.42,Dynamic,0.00
175,2566.23,Dynamic,0.00
176,2558.10,Dynamic,0.00
177,2559.57,Dynamic,0.00
178,2557.37,Dynamic,0.00
179,2554.62,Dynamic,0.00
180,2549.20,Dynamic,0.00
181,2570.68,Dynamic,0.00
182,2573.37,Dynamic,0.00
183,2560.86,Dynamic,0.00
184,2560.66,Dynamic,0.00
185,2551.45,Dynamic,0.00
186,2559.95,Dynamic,0.00
187,2553.09,Dynamic,0.00
188,2558.97,Dynamic,0.00
189,2552.13,Dynamic,0.00
190,2553.80,Dynamic,0.00
191,2555.24,Dynamic,0.00
192,2539.79,Dynamic,0.00
193,2544.55,Dynamic,0.00
194,2533.71,Dynamic,0.00
195,2522.13,Dynamic,0.00
196,2553.45,Dynamic,0.00
197,2547.72,Dynamic,0.00
198,2540.10,Dynamic,0.00
199,2529.57,Dynamic,0.00
200,2567.53,Dynamic,0.00
201,2561.69,Dynamic,0.00
202,2520.71,Dynamic,0.00
203,2502.51,Dynamic,0.00
204,2504.57,Dynamic,0.00
205,2528.99,Dynamic,0.00
206,2538.02,Dynamic,0.00
207,2550.25,Dynamic,0.00
208,2539.37,Dynamic,0.00
209,2528.83,Dynamic,0.00
210,2552.16,Dynamic,0.00
211,2530.12,Dynamic,0.00
212,2549.76,Dynamic,0.00
213,2508.60,Dynamic,0.00
214,2508.18,Dynamic,0.00
215,2510.26,Dynamic,0.00
216,2511.67,Dynamic,0.00
217,2533.95,Dynamic,0.00
218,2557.56,Dynamic,0.00
219,2550.63,Dynamic,0.00
220,2518.94,Dynamic,0.00
221,2562.75,Dynamic,0.00
222,2526.66,Dynamic,0.00
223,2482.63,Dynamic,0.00
224,2505.08,Dynamic,0.00
225,2512.38,Dynamic,0.00
226,2505.72,Dynamic,0.00
227,2495.79,Dynamic,0.00
228,2518.46,Dynamic,0.00
229,2515.80,Dynamic,0.00
230,2478.30,Dynamic,0.00
231,2485.14,Dynamic,0.00
232,2494.95,Dynamic,0.00
233,2505.37,Dynamic,0.00
234,2495.69,Dynamic,0.00
235,2492.79,Dynamic,0.00
236,2495.79,Dynamic,0.00
237,2512.10,Dynamic,0.00
238,2484.18,Dynamic,0.00
239,2465.49,Dynamic,0.00
240,2503.91,Dynamic,0.00
241,2484.75,Dynamic,0.00
242,2480.88,Dynamic,0.00
243,2511.98,Dynamic,0.00
244,2470.61,Dynamic,0.00
245,2479.14,Dynamic,0.00
246,2475.16,Dynamic,0.00
247,2502.05,Dynamic,0.00
248,2464.98,Dynamic,0.00
249,2480.60,Dynamic,0.00
250,2481.02,Dynamic,0.00
251,2462.03,Dynamic,0.00
252,2472.44,Dynamic,0.00
253,2464.16,Dynamic,0.00
254,2455.03,Dynamic,0.00
255,2446.08,Dynamic,0.00
256,2475.90,Dynamic,0.00
257,2443.95,Dynamic,0.00
258,2461.53,Dynamic,0.00
259,2420.80,Dynamic,0.00
