iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,3059.07,1937.0,N/A,N/A,2.7820
2,3015.45,1937.0,N/A,N/A,8.2606
3,3018.34,1937.0,N/A,N/A,11.3333
4,3004.73,1937.0,N/A,N/A,11.7394
5,2974.51,1937.0,N/A,N/A,18.6768
6,2943.34,1937.0,N/A,N/A,16.7354
7,3027.46,1937.0,N/A,N/A,18.6202
8,2983.27,1937.0,N/A,N/A,18.8283
9,2976.09,1937.0,N/A,N/A,26.1556
10,2935.15,1937.0,N/A,N/A,25.1960
11,2925.59,1937.0,N/A,N/A,23.1778
12,2935.05,1937.0,N/A,N/A,27.8990
13,2901.24,1937.0,N/A,N/A,30.7899
14,2905.00,1937.0,N/A,N/A,33.6101
15,2924.02,1937.0,N/A,N/A,29.3596
16,2904.86,1937.0,N/A,N/A,31.8121
17,2877.04,1937.0,N/A,N/A,34.5051
18,2872.05,1937.0,N/A,N/A,37.6525
19,2875.51,1937.0,N/A,N/A,37.4889
20,2883.52,1937.0,N/A,N/A,37.1556
21,2896.93,1937.0,N/A,N/A,35.7859
22,2869.96,1937.0,N/A,N/A,37.6909
23,2835.93,1937.0,N/A,N/A,40.6081
24,2881.54,1937.0,N/A,N/A,41.7838
25,2834.74,1937.0,N/A,N/A,46.9919
26,2826.95,1937.0,N/A,N/A,46.1354
27,2829.06,1937.0,N/A,N/A,43.9192
28,2813.95,1937.0,N/A,N/A,49.5535
29,2809.66,1937.0,N/A,N/A,54.0545
30,2767.22,1937.0,N/A,N/A,55.3232
31,2783.69,1937.0,N/A,N/A,53.0566
32,2833.36,1937.0,N/A,N/A,43.9919
33,2842.60,1937.0,N/A,N/A,48.1818
34,2812.35,1937.0,N/A,N/A,53.9859
35,2756.87,1937.0,N/A,N/A,58.1960
36,2765.55,1937.0,N/A,N/A,60.8343
37,2759.98,1937.0,N/A,N/A,55.0121
38,2789.79,1937.0,N/A,N/A,55.2970
39,2766.18,1937.0,N/A,N/A,57.1091
40,2787.99,1937.0,N/A,N/A,54.7960
41,2776.67,1937.0,N/A,N/A,60.0949
42,2788.32,1937.0,N/A,N/A,56.6626
43,2711.83,1937.0,N/A,N/A,61.6080
44,2779.04,1937.0,N/A,N/A,57.0444
45,2796.27,1937.0,N/A,N/A,60.0566
46,2771.70,1937.0,N/A,N/A,58.5212
47,2761.91,1937.0,N/A,N/A,60.7556
48,2785.40,1937.0,N/A,N/A,58.0283
49,2738.60,1937.0,N/A,N/A,63.3232
50,2720.19,1937.0,N/A,N/A,62.9313
51,2714.42,1937.0,N/A,N/A,64.5778
52,2696.39,1937.0,N/A,N/A,65.6101
53,2728.10,1937.0,N/A,N/A,66.6384
54,2745.14,1937.0,N/A,N/A,65.1919
55,2763.11,1937.0,N/A,N/A,66.4000
56,2694.50,1937.0,N/A,N/A,71.8667
57,2716.64,1937.0,N/A,N/A,68.9737
58,2718.92,1937.0,N/A,N/A,68.1941
59,2739.18,1937.0,N/A,N/A,65.1192
60,2752.52,1937.0,N/A,N/A,62.8687
61,2759.41,1937.0,N/A,N/A,66.6707
62,2737.90,1937.0,N/A,N/A,68.8343
63,2729.03,1937.0,N/A,N/A,63.2323
64,2714.89,1937.0,N/A,N/A,65.7172
65,2686.12,1937.0,N/A,N/A,70.5091
66,2664.85,1937.0,N/A,N/A,71.5030
67,2715.47,1937.0,N/A,N/A,72.3273
68,2748.16,1937.0,N/A,N/A,69.2202
69,2734.45,1937.0,N/A,N/A,69.8242
