iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,2885.94,1937.0,48.99,48.99,29.1515
2,2911.66,1937.0,50.32,49.65,32.2162
3,2936.80,1937.0,51.62,50.31,31.6626
4,2965.27,1937.0,53.09,51.00,31.0263
5,2904.57,1937.0,49.95,50.79,30.8768
6,2883.30,1937.0,48.85,50.77,35.9859
7,2892.24,1937.0,49.32,50.56,35.0121
8,2889.51,1937.0,49.17,50.08,39.0848
9,2908.53,1937.0,50.16,49.49,38.9899
10,2808.16,1937.0,44.97,48.49,41.0323
11,2843.45,1937.0,46.80,48.08,38.5515
12,2849.54,1937.0,47.11,47.64,40.3939
13,2836.00,1937.0,46.41,47.09,40.0687
14,2878.26,1937.0,48.59,46.78,40.6970
15,2846.77,1937.0,46.97,47.18,47.6303
16,2837.53,1937.0,46.49,47.12,48.1758
17,2831.28,1937.0,46.17,46.93,43.8303
18,2834.74,1937.0,46.35,46.91,48.2421
19,2814.00,1937.0,45.28,46.25,52.8667
20,2838.89,1937.0,46.56,46.17,48.0808
21,2826.46,1937.0,45.92,46.05,51.0505
22,2809.56,1937.0,45.05,45.83,49.9879
23,2785.74,1937.0,43.82,45.32,53.9394
24,2791.55,1937.0,44.12,45.09,52.6707
25,2766.37,1937.0,42.82,44.34,57.5333
26,2754.41,1937.0,42.20,43.60,60.2707
27,2750.75,1937.0,42.01,42.99,58.7818
28,2744.24,1937.0,41.67,42.56,61.5051
29,2750.66,1937.0,42.01,42.14,66.1091
30,2744.56,1937.0,41.69,41.92,64.6263
31,2697.22,1937.0,39.25,41.33,70.3879
32,2737.70,1937.0,41.34,41.19,67.4197
33,2734.43,1937.0,41.17,41.09,71.9046
34,2698.79,1937.0,39.33,40.55,72.3091
35,2704.83,1937.0,39.64,40.14,73.1333
36,2688.85,1937.0,38.82,40.06,74.6343
37,2684.13,1937.0,38.57,39.50,72.8970
38,2656.30,1937.0,37.13,38.70,77.5010
39,2658.82,1937.0,37.26,38.29,77.7576
40,2686.12,1937.0,38.67,38.09,78.9798
41,2668.03,1937.0,37.74,37.88,80.9919
42,2698.19,1937.0,39.30,38.02,76.8222
43,2682.69,1937.0,38.50,38.29,82.7434
44,2639.13,1937.0,36.25,38.09,81.9394
45,2642.93,1937.0,36.44,37.65,81.0204
46,2636.15,1937.0,36.09,37.32,81.0990
47,2637.01,1937.0,36.14,36.68,82.5495
48,2683.84,1937.0,38.56,36.70,79.9192
49,2645.93,1937.0,36.60,36.77,83.5051
50,2610.46,1937.0,34.77,36.43,83.0000
51,2653.21,1937.0,36.98,36.61,81.1919
52,2646.94,1937.0,36.65,36.71,85.1717
53,2636.33,1937.0,36.10,36.22,86.0566
54,2621.12,1937.0,35.32,35.96,84.4586
55,2641.84,1937.0,36.39,36.29,88.4342
56,2652.89,1937.0,36.96,36.28,86.3636
57,2641.36,1937.0,36.36,36.23,85.0768
58,2597.42,1937.0,34.09,35.82,91.8343
59,2587.22,1937.0,33.57,35.47,88.9455
60,2604.82,1937.0,34.48,35.09,89.3859
61,2606.77,1937.0,34.58,34.62,88.2444
62,2598.43,1937.0,34.15,34.17,90.3879
63,2621.02,1937.0,35.31,34.42,90.9354
64,2600.15,1937.0,34.24,34.55,87.3455
65,2618.65,1937.0,35.19,34.69,88.8834
66,2613.53,1937.0,34.93,34.76,92.0346
67,2598.35,1937.0,34.14,34.76,95.1535
68,2589.32,1937.0,33.68,34.43,95.6384
69,2579.77,1937.0,33.18,34.22,95.7394
70,2578.31,1937.0,33.11,33.81,96.3111
71,2596.27,1937.0,34.04,33.63,92.4040
72,2599.32,1937.0,34.19,33.64,92.6970
73,2633.51,1937.0,35.96,34.10,94.4364
74,2592.77,1937.0,33.85,34.23,94.1495
75,2592.42,1937.0,33.84,34.38,94.0747
76,2611.43,1937.0,34.82,34.53,92.4359
77,2600.03,1937.0,34.23,34.54,96.6202
78,2592.36,1937.0,33.83,34.11,95.4485
79,2612.42,1937.0,34.87,34.32,94.1576
80,2591.85,1937.0,33.81,34.31,96.8000
81,2578.79,1937.0,33.13,33.97,92.1838
82,2572.51,1937.0,32.81,33.69,92.5313
83,2597.62,1937.0,34.11,33.74,96.9010
84,2565.58,1937.0,32.45,33.26,97.1414
85,2565.54,1937.0,32.45,32.99,96.1253
86,2553.20,1937.0,31.81,32.73,99.1616
87,2572.03,1937.0,32.78,32.72,99.7859
88,2578.38,1937.0,33.11,32.52,98.6202
89,2576.55,1937.0,33.02,32.63,101.4061
90,2562.95,1937.0,32.32,32.61,98.5172
91,2567.60,1937.0,32.56,32.76,103.2202
92,2567.04,1937.0,32.53,32.71,102.9818
93,2583.55,1937.0,33.38,32.76,98.7576
94,2564.84,1937.0,32.41,32.64,104.4808
95,2530.91,1937.0,30.66,32.31,104.5504
96,2504.46,1937.0,29.30,31.66,106.8340
97,2519.86,1937.0,30.09,31.17,107.9919
98,2530.64,1937.0,30.65,30.62,106.6242
99,2524.03,1937.0,30.31,30.20,103.8949
100,2526.68,1937.0,30.44,30.16,104.8929
101,2546.41,1937.0,31.46,30.59,106.6747
102,2561.79,1937.0,32.26,31.02,106.5152
103,2556.68,1937.0,31.99,31.29,104.4343
104,2570.58,1937.0,32.71,31.77,104.9503
105,2548.04,1937.0,31.55,31.99,103.1382
106,2538.48,1937.0,31.05,31.91,102.6242
107,2559.41,1937.0,32.13,31.89,105.2747
108,2555.69,1937.0,31.94,31.88,103.4303
109,2517.93,1937.0,29.99,31.33,104.4384
110,2541.70,1937.0,31.22,31.27,101.9293
111,2586.68,1937.0,33.54,31.76,100.6505
112,2604.50,1937.0,34.46,32.23,100.9313
113,2537.54,1937.0,31.00,32.04,101.7152
114,2527.76,1937.0,30.50,32.14,107.1595
115,2559.95,1937.0,32.16,32.33,104.4808
116,2525.68,1937.0,30.39,31.70,107.7556
117,2544.95,1937.0,31.39,31.09,104.7152
118,2537.57,1937.0,31.01,31.09,105.9434
119,2528.47,1937.0,30.54,31.10,105.6727
120,2533.53,1937.0,30.80,30.82,109.8606
121,2552.78,1937.0,31.79,31.10,104.9758
122,2565.37,1937.0,32.44,31.31,103.5010
123,2522.09,1937.0,30.21,31.15,107.1869
124,2512.44,1937.0,29.71,30.99,110.6970
125,2523.64,1937.0,30.29,30.89,110.2463
126,2507.54,1937.0,29.45,30.42,109.9434
127,2514.83,1937.0,29.83,29.90,113.8646
128,2505.29,1937.0,29.34,29.72,115.5838
129,2507.06,1937.0,29.43,29.67,113.2283
130,2512.86,1937.0,29.73,29.56,106.9737
131,2528.63,1937.0,30.54,29.77,105.1455
132,2500.08,1937.0,29.07,29.62,110.2707
133,2513.46,1937.0,29.76,29.71,112.3758
134,2499.91,1937.0,29.06,29.63,112.7552
135,2515.42,1937.0,29.86,29.66,106.9818
136,2496.58,1937.0,28.89,29.33,112.3879
137,2511.40,1937.0,29.65,29.45,112.2828
138,2494.79,1937.0,28.80,29.25,114.4000
139,2470.58,1937.0,27.55,28.95,118.6667
140,2474.61,1937.0,27.75,28.53,116.0646
141,2477.15,1937.0,27.89,28.33,114.9576
142,2481.95,1937.0,28.13,28.02,114.3758
