iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,3052.82,1937.0,57.61,57.61,8.6364
2,3059.53,1937.0,57.95,57.78,9.4263
3,3036.68,1937.0,56.77,57.44,14.4424
4,2989.97,1937.0,54.36,56.67,13.3616
5,2992.96,1937.0,54.52,56.24,13.6768
6,3018.10,1937.0,55.81,55.88,11.5354
7,3009.61,1937.0,55.37,55.37,12.6222
8,2997.89,1937.0,54.77,54.97,13.8364
9,3006.60,1937.0,55.22,55.14,17.1475
10,2975.45,1937.0,53.61,54.96,20.2141
11,2941.13,1937.0,51.84,54.16,30.2101
12,2911.19,1937.0,50.29,53.15,29.3475
13,2916.94,1937.0,50.59,52.31,28.1939
14,2898.32,1937.0,49.63,51.19,31.2202
15,2889.24,1937.0,49.16,50.30,30.7232
16,2908.49,1937.0,50.15,49.97,38.2479
17,2912.68,1937.0,50.37,49.98,35.6623
18,2859.22,1937.0,47.61,49.39,39.6020
19,2844.23,1937.0,46.84,48.83,41.2848
20,2831.08,1937.0,46.16,48.23,40.9879
21,2825.62,1937.0,45.88,47.37,49.2000
22,2801.69,1937.0,44.64,46.22,49.9434
23,2808.27,1937.0,44.98,45.70,46.5192
24,2829.17,1937.0,46.06,45.54,48.7333
25,2813.99,1937.0,45.28,45.37,50.5394
26,2816.28,1937.0,45.39,45.27,54.5556
27,2775.54,1937.0,43.29,45.00,50.7697
28,2797.41,1937.0,44.42,44.89,50.4465
29,2803.26,1937.0,44.72,44.62,57.4283
30,2787.56,1937.0,43.91,44.35,56.2305
31,2766.17,1937.0,42.81,43.83,58.8162
32,2760.74,1937.0,42.53,43.68,61.6606
33,2748.03,1937.0,41.87,43.17,61.3717
34,2782.84,1937.0,43.67,42.96,58.1131
35,2767.31,1937.0,42.87,42.75,61.7394
36,2774.52,1937.0,43.24,42.83,61.1697
37,2777.04,1937.0,43.37,43.00,65.7758
38,2743.98,1937.0,41.66,42.96,65.8990
39,2753.91,1937.0,42.17,42.66,63.1859
40,2720.22,1937.0,40.43,42.18,67.2162
41,2712.37,1937.0,40.03,41.53,70.7132
42,2688.64,1937.0,38.80,40.62,73.0525
43,2713.89,1937.0,40.11,40.31,69.7030
44,2699.90,1937.0,39.39,39.75,72.6343
45,2683.86,1937.0,38.56,39.38,75.3232
46,2708.80,1937.0,39.85,39.34,72.9394
47,2696.29,1937.0,39.20,39.42,76.9556
48,2688.99,1937.0,38.82,39.16,73.4101
49,2689.49,1937.0,38.85,39.05,77.2182
50,2671.41,1937.0,37.91,38.93,83.0768
51,2686.36,1937.0,38.69,38.69,78.7233
52,2677.03,1937.0,38.20,38.50,74.5757
