iteration,makespan,bks,optimality gap
1,0.00,Dynamic,0.00
2,3756.54,Dynamic,0.00
3,3760.21,Dynamic,0.00
4,3746.50,Dynamic,0.00
5,3767.49,Dynamic,0.00
6,3760.32,Dynamic,0.00
7,3747.54,Dynamic,0.00
8,3705.92,Dynamic,0.00
9,3734.63,Dynamic,0.00
10,3730.73,Dynamic,0.00
11,3744.83,Dynamic,0.00
12,3734.06,Dynamic,0.00
13,3718.10,Dynamic,0.00
14,3690.41,Dynamic,0.00
15,3704.40,Dynamic,0.00
16,3739.11,Dynamic,0.00
17,3729.13,Dynamic,0.00
18,3673.00,Dynamic,0.00
19,3662.66,Dynamic,0.00
20,3681.92,Dynamic,0.00
21,3686.64,Dynamic,0.00
22,3719.86,Dynamic,0.00
23,3668.50,Dynamic,0.00
24,3632.04,Dynamic,0.00
25,3636.68,Dynamic,0.00
26,3635.07,Dynamic,0.00
27,3621.04,Dynamic,0.00
28,3613.83,Dynamic,0.00
29,3601.87,Dynamic,0.00
30,3630.97,Dynamic,0.00
31,3625.53,Dynamic,0.00
32,3623.11,Dynamic,0.00
33,3626.61,Dynamic,0.00
34,3647.06,Dynamic,0.00
35,3613.51,Dynamic,0.00
36,3585.33,Dynamic,0.00
37,3577.94,Dynamic,0.00
38,3589.99,Dynamic,0.00
39,3588.06,Dynamic,0.00
40,3587.63,Dynamic,0.00
41,3628.72,Dynamic,0.00
42,3548.34,Dynamic,0.00
43,3590.69,Dynamic,0.00
44,3619.75,Dynamic,0.00
45,3585.36,Dynamic,0.00
46,3557.11,Dynamic,0.00
47,3582.96,Dynamic,0.00
48,3568.12,Dynamic,0.00
49,3538.59,Dynamic,0.00
50,3531.94,Dynamic,0.00
51,3526.88,Dynamic,0.00
52,3537.75,Dynamic,0.00
53,3541.98,Dynamic,0.00
54,3541.10,Dynamic,0.00
55,3539.07,Dynamic,0.00
56,3559.71,Dynamic,0.00
57,3543.19,Dynamic,0.00
58,3547.19,Dynamic,0.00
59,3536.40,Dynamic,0.00
60,3533.70,Dynamic,0.00
61,3502.75,Dynamic,0.00
62,3497.37,Dynamic,0.00
63,3508.26,Dynamic,0.00
64,3507.60,Dynamic,0.00
65,3539.32,Dynamic,0.00
66,3539.74,Dynamic,0.00
67,3531.99,Dynamic,0.00
68,3499.52,Dynamic,0.00
69,3514.17,Dynamic,0.00
70,3520.81,Dynamic,0.00
71,3518.47,Dynamic,0.00
72,3541.93,Dynamic,0.00
73,3512.12,Dynamic,0.00
74,3515.85,Dynamic,0.00
75,3488.32,Dynamic,0.00
76,3492.55,Dynamic,0.00
77,3492.04,Dynamic,0.00
78,3522.59,Dynamic,0.00
79,3492.86,Dynamic,0.00
80,3499.94,Dynamic,0.00
81,3480.31,Dynamic,0.00
82,3491.28,Dynamic,0.00
83,3490.35,Dynamic,0.00
84,3469.67,Dynamic,0.00
85,3467.67,Dynamic,0.00
86,3476.18,Dynamic,0.00
87,3495.01,Dynamic,0.00
88,3492.11,Dynamic,0.00
89,3480.85,Dynamic,0.00
90,3480.12,Dynamic,0.00
91,3503.59,Dynamic,0.00
92,3487.65,Dynamic,0.00
93,3479.30,Dynamic,0.00
94,3498.00,Dynamic,0.00
95,3474.02,Dynamic,0.00
96,3481.09,Dynamic,0.00
97,3466.16,Dynamic,0.00
98,3453.96,Dynamic,0.00
99,3465.25,Dynamic,0.00
100,3471.13,Dynamic,0.00
101,3458.09,Dynamic,0.00
102,3457.84,Dynamic,0.00
103,3460.45,Dynamic,0.00
104,3461.97,Dynamic,0.00
105,3459.03,Dynamic,0.00
106,3456.90,Dynamic,0.00
107,3444.92,Dynamic,0.00
108,3461.59,Dynamic,0.00
109,3464.69,Dynamic,0.00
110,3445.56,Dynamic,0.00
111,3428.61,Dynamic,0.00
112,3428.46,Dynamic,0.00
113,3435.30,Dynamic,0.00
114,3431.26,Dynamic,0.00
115,3423.53,Dynamic,0.00
116,3454.28,Dynamic,0.00
117,3462.44,Dynamic,0.00
118,3458.62,Dynamic,0.00
119,3418.23,Dynamic,0.00
120,3391.98,Dynamic,0.00
121,3401.90,Dynamic,0.00
122,3419.33,Dynamic,0.00
123,3439.20,Dynamic,0.00
124,3425.89,Dynamic,0.00
125,3413.14,Dynamic,0.00
126,3411.69,Dynamic,0.00
127,3430.98,Dynamic,0.00
128,3464.40,Dynamic,0.00
129,3431.39,Dynamic,0.00
130,3388.06,Dynamic,0.00
131,3406.73,Dynamic,0.00
132,3438.81,Dynamic,0.00
133,3429.97,Dynamic,0.00
134,3416.38,Dynamic,0.00
135,3396.11,Dynamic,0.00
136,3414.69,Dynamic,0.00
137,3428.27,Dynamic,0.00
138,3414.50,Dynamic,0.00
139,3400.21,Dynamic,0.00
140,3432.83,Dynamic,0.00
141,3436.59,Dynamic,0.00
142,3422.22,Dynamic,0.00
143,3419.84,Dynamic,0.00
144,3409.11,Dynamic,0.00
145,3394.09,Dynamic,0.00
146,3364.11,Dynamic,0.00
