iteration,makespan,bks,optimality gap
1,0.00,Dynamic,0.00
2,3714.96,Dynamic,0.00
3,3727.80,Dynamic,0.00
4,3733.76,Dynamic,0.00
5,3743.39,Dynamic,0.00
6,3734.74,Dynamic,0.00
7,3743.61,Dynamic,0.00
8,3721.82,Dynamic,0.00
9,3727.23,Dynamic,0.00
10,3730.02,Dynamic,0.00
11,3754.64,Dynamic,0.00
12,3761.72,Dynamic,0.00
13,3768.49,Dynamic,0.00
14,3704.92,Dynamic,0.00
15,3698.25,Dynamic,0.00
16,3711.52,Dynamic,0.00
17,3708.90,Dynamic,0.00
18,3689.90,Dynamic,0.00
19,3673.09,Dynamic,0.00
20,3676.33,Dynamic,0.00
21,3698.98,Dynamic,0.00
22,3665.60,Dynamic,0.00
23,3663.69,Dynamic,0.00
24,3659.96,Dynamic,0.00
25,3650.82,Dynamic,0.00
26,3628.83,Dynamic,0.00
27,3635.27,Dynamic,0.00
28,3625.61,Dynamic,0.00
29,3652.60,Dynamic,0.00
30,3659.60,Dynamic,0.00
31,3651.05,Dynamic,0.00
32,3641.55,Dynamic,0.00
33,3629.22,Dynamic,0.00
34,3603.16,Dynamic,0.00
35,3640.41,Dynamic,0.00
36,3641.16,Dynamic,0.00
37,3642.35,Dynamic,0.00
38,3647.95,Dynamic,0.00
39,3638.54,Dynamic,0.00
40,3593.86,Dynamic,0.00
41,3612.95,Dynamic,0.00
42,3608.22,Dynamic,0.00
43,3600.11,Dynamic,0.00
44,3565.22,Dynamic,0.00
45,3576.30,Dynamic,0.00
46,3581.59,Dynamic,0.00
47,3553.06,Dynamic,0.00
48,3530.82,Dynamic,0.00
49,3550.54,Dynamic,0.00
50,3555.79,Dynamic,0.00
51,3540.28,Dynamic,0.00
52,3533.46,Dynamic,0.00
53,3526.31,Dynamic,0.00
54,3537.58,Dynamic,0.00
55,3544.26,Dynamic,0.00
56,3526.37,Dynamic,0.00
57,3552.15,Dynamic,0.00
58,3547.32,Dynamic,0.00
59,3523.98,Dynamic,0.00
60,3539.01,Dynamic,0.00
61,3512.04,Dynamic,0.00
62,3521.15,Dynamic,0.00
63,3521.41,Dynamic,0.00
64,3529.19,Dynamic,0.00
65,3538.36,Dynamic,0.00
66,3535.91,Dynamic,0.00
67,3507.69,Dynamic,0.00
68,3510.48,Dynamic,0.00
69,3505.67,Dynamic,0.00
70,3493.79,Dynamic,0.00
71,3494.05,Dynamic,0.00
72,3473.00,Dynamic,0.00
73,3507.84,Dynamic,0.00
74,3507.58,Dynamic,0.00
75,3508.61,Dynamic,0.00
76,3499.00,Dynamic,0.00
77,3469.45,Dynamic,0.00
78,3466.59,Dynamic,0.00
79,3487.57,Dynamic,0.00
80,3483.70,Dynamic,0.00
81,3515.32,Dynamic,0.00
82,3530.42,Dynamic,0.00
83,3516.34,Dynamic,0.00
84,3501.26,Dynamic,0.00
85,3498.79,Dynamic,0.00
86,3528.90,Dynamic,0.00
87,3494.69,Dynamic,0.00
88,3477.07,Dynamic,0.00
89,3486.32,Dynamic,0.00
90,3482.72,Dynamic,0.00
91,3477.45,Dynamic,0.00
92,3484.85,Dynamic,0.00
93,3500.44,Dynamic,0.00
94,3500.77,Dynamic,0.00
95,3455.56,Dynamic,0.00
96,3428.91,Dynamic,0.00
97,3454.89,Dynamic,0.00
98,3457.28,Dynamic,0.00
99,3444.87,Dynamic,0.00
100,3439.16,Dynamic,0.00
101,3455.66,Dynamic,0.00
102,3451.40,Dynamic,0.00
103,3431.50,Dynamic,0.00
104,3401.82,Dynamic,0.00
105,3461.50,Dynamic,0.00
106,3458.95,Dynamic,0.00
107,3436.52,Dynamic,0.00
108,3433.47,Dynamic,0.00
109,3454.32,Dynamic,0.00
110,3444.95,Dynamic,0.00
111,3430.07,Dynamic,0.00
112,3448.62,Dynamic,0.00
113,3468.16,Dynamic,0.00
114,3460.85,Dynamic,0.00
115,3414.25,Dynamic,0.00
116,3408.71,Dynamic,0.00
117,3416.53,Dynamic,0.00
118,3399.63,Dynamic,0.00
119,3407.96,Dynamic,0.00
120,3416.79,Dynamic,0.00
121,3406.16,Dynamic,0.00
122,3381.91,Dynamic,0.00
