iteration,makespan,bks,optimality gap
2,4213.06,Dynamic,46.85
3,4223.68,Dynamic,47.22
4,4201.44,Dynamic,46.44
5,4225.88,Dynamic,47.29
6,4224.32,Dynamic,47.24
7,4196.88,Dynamic,46.28
8,4174.88,Dynamic,45.52
9,4147.97,Dynamic,44.58
10,4174.88,Dynamic,45.52
11,4167.56,Dynamic,45.26
12,4108.34,Dynamic,43.20
13,4076.96,Dynamic,42.10
14,4087.42,Dynamic,42.47
15,4106.75,Dynamic,43.14
16,4087.80,Dynamic,42.48
17,4120.09,Dynamic,43.61
18,4101.69,Dynamic,42.97
19,4138.76,Dynamic,44.26
20,4143.41,Dynamic,44.42
21,4121.68,Dynamic,43.66
22,4085.66,Dynamic,42.41
23,4067.09,Dynamic,41.76
24,4062.08,Dynamic,41.59
25,4121.19,Dynamic,43.65
26,4076.62,Dynamic,42.09
27,4087.04,Dynamic,42.46
28,4085.72,Dynamic,42.41
29,4107.61,Dynamic,43.17
30,4099.29,Dynamic,42.88
31,4055.75,Dynamic,41.36
32,4045.08,Dynamic,40.99
33,4069.28,Dynamic,41.84
34,4050.36,Dynamic,41.18
35,4046.16,Dynamic,41.03
36,4076.16,Dynamic,42.08
37,4046.05,Dynamic,41.03
38,4020.31,Dynamic,40.13
39,4003.19,Dynamic,39.53
40,3998.08,Dynamic,39.35
41,4026.38,Dynamic,40.34
42,3947.58,Dynamic,37.59
43,3935.52,Dynamic,37.17
44,3984.94,Dynamic,38.90
45,3975.64,Dynamic,38.57
46,4057.00,Dynamic,41.41
47,4018.34,Dynamic,40.06
48,3978.87,Dynamic,38.68
49,3994.69,Dynamic,39.24
50,4038.23,Dynamic,40.75
51,4022.00,Dynamic,40.19
52,4003.84,Dynamic,39.56
53,3975.07,Dynamic,38.55
54,3951.54,Dynamic,37.73
55,3928.53,Dynamic,36.93
56,3961.48,Dynamic,38.08
57,3950.44,Dynamic,37.69
58,3937.52,Dynamic,37.24
59,3937.30,Dynamic,37.24
60,3956.33,Dynamic,37.90
61,3959.87,Dynamic,38.02
62,3961.50,Dynamic,38.08
63,3941.25,Dynamic,37.37
64,3912.43,Dynamic,36.37
65,3917.56,Dynamic,36.55
66,3916.00,Dynamic,36.49
67,3885.00,Dynamic,35.41
68,3893.96,Dynamic,35.73
69,3913.38,Dynamic,36.40
70,3900.15,Dynamic,35.94
71,3881.79,Dynamic,35.30
72,3881.72,Dynamic,35.30
73,3921.62,Dynamic,36.69
74,3892.00,Dynamic,35.66
75,3910.78,Dynamic,36.31
76,3894.62,Dynamic,35.75
