iteration,makespan,bks,optimality gap
1,0.00,Dynamic,0.00
2,0.00,Dynamic,0.00
3,0.00,Dynamic,0.00
4,6366.93,Dynamic,0.00
5,6366.93,Dynamic,0.00
6,6366.93,Dynamic,0.00
7,6377.61,Dynamic,0.00
8,6377.61,Dynamic,0.00
9,6377.61,Dynamic,0.00
10,6400.56,Dynamic,0.00
11,6400.56,Dynamic,0.00
12,6400.56,Dynamic,0.00
13,6343.14,Dynamic,0.00
14,6343.14,Dynamic,0.00
15,6343.14,Dynamic,0.00
16,6352.45,Dynamic,0.00
17,6352.45,Dynamic,0.00
18,6352.45,Dynamic,0.00
19,6394.64,Dynamic,0.00
20,6394.64,Dynamic,0.00
21,6394.64,Dynamic,0.00
22,6435.89,Dynamic,0.00
23,6442.22,Dynamic,0.00
24,6442.22,Dynamic,0.00
25,6462.00,Dynamic,0.00
26,6442.82,Dynamic,0.00
27,6442.82,Dynamic,0.00
28,6440.21,Dynamic,0.00
29,6463.08,Dynamic,0.00
30,6463.08,Dynamic,0.00
31,6463.08,Dynamic,0.00
32,6433.88,Dynamic,0.00
33,6433.88,Dynamic,0.00
34,6433.88,Dynamic,0.00
35,6411.68,Dynamic,0.00
36,6411.68,Dynamic,0.00
37,6411.68,Dynamic,0.00
38,6416.57,Dynamic,0.00
39,6416.57,Dynamic,0.00
40,6416.57,Dynamic,0.00
41,6345.31,Dynamic,0.00
42,6345.31,Dynamic,0.00
43,6345.31,Dynamic,0.00
44,6332.75,Dynamic,0.00
45,6332.75,Dynamic,0.00
46,6332.75,Dynamic,0.00
47,6352.83,Dynamic,0.00
48,6352.83,Dynamic,0.00
49,6352.83,Dynamic,0.00
50,6279.50,Dynamic,0.00
51,6284.59,Dynamic,0.00
52,6284.59,Dynamic,0.00
53,6319.67,Dynamic,0.00
54,6320.86,Dynamic,0.00
55,6320.86,Dynamic,0.00
56,6288.70,Dynamic,0.00
57,6284.82,Dynamic,0.00
58,6284.82,Dynamic,0.00
59,6267.60,Dynamic,0.00
60,6272.75,Dynamic,0.00
61,6272.75,Dynamic,0.00
62,6258.54,Dynamic,0.00
63,6245.59,Dynamic,0.00
64,6245.59,Dynamic,0.00
65,6270.13,Dynamic,0.00
66,6288.30,Dynamic,0.00
67,6288.30,Dynamic,0.00
68,6299.83,Dynamic,0.00
69,6320.62,Dynamic,0.00
70,6320.62,Dynamic,0.00
71,6321.54,Dynamic,0.00
72,6342.44,Dynamic,0.00
73,6342.44,Dynamic,0.00
74,6330.38,Dynamic,0.00
75,6301.14,Dynamic,0.00
76,6301.14,Dynamic,0.00
77,6315.64,Dynamic,0.00
78,6299.92,Dynamic,0.00
79,6299.92,Dynamic,0.00
80,6302.15,Dynamic,0.00
81,6272.88,Dynamic,0.00
82,6272.88,Dynamic,0.00
83,6275.21,Dynamic,0.00
84,6282.49,Dynamic,0.00
85,6282.49,Dynamic,0.00
86,6283.28,Dynamic,0.00
87,6283.85,Dynamic,0.00
88,6283.85,Dynamic,0.00
89,6284.60,Dynamic,0.00
90,6306.80,Dynamic,0.00
91,6306.80,Dynamic,0.00
92,6307.03,Dynamic,0.00
93,6340.36,Dynamic,0.00
94,6340.36,Dynamic,0.00
95,6338.82,Dynamic,0.00
96,6381.43,Dynamic,0.00
97,6381.43,Dynamic,0.00
98,6381.43,Dynamic,0.00
99,6409.30,Dynamic,0.00
100,6409.30,Dynamic,0.00
101,6409.30,Dynamic,0.00
102,6361.59,Dynamic,0.00
103,6360.35,Dynamic,0.00
104,6360.35,Dynamic,0.00
105,6388.30,Dynamic,0.00
106,6398.27,Dynamic,0.00
107,6398.27,Dynamic,0.00
108,6450.08,Dynamic,0.00
109,6433.64,Dynamic,0.00
110,6433.64,Dynamic,0.00
111,6404.80,Dynamic,0.00
112,6374.13,Dynamic,0.00
113,6374.13,Dynamic,0.00
114,6313.02,Dynamic,0.00
115,6321.80,Dynamic,0.00
116,6321.80,Dynamic,0.00
117,6354.74,Dynamic,0.00
118,6397.25,Dynamic,0.00
119,6397.25,Dynamic,0.00
120,6425.64,Dynamic,0.00
121,6432.69,Dynamic,0.00
122,6432.69,Dynamic,0.00
123,6380.79,Dynamic,0.00
124,6355.61,Dynamic,0.00
