iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,5181.0,N/A,N/A,nan
2,0.00,5181.0,N/A,N/A,nan
3,6251.10,5181.0,20.65,20.65,724.5000
4,6251.10,5181.0,20.65,20.65,724.5000
5,6251.10,5181.0,20.65,20.65,724.5000
6,6241.06,5181.0,20.46,20.61,702.7758
7,6241.06,5181.0,20.46,20.58,702.7758
8,6241.06,5181.0,20.46,20.54,702.7758
9,6358.80,5181.0,22.73,20.95,690.1859
10,6358.80,5181.0,22.73,21.37,690.1859
11,6358.80,5181.0,22.73,21.82,690.1859
12,6340.97,5181.0,22.39,22.21,682.5455
13,6340.97,5181.0,22.39,22.60,682.5455
14,6340.97,5181.0,22.39,22.53,682.5455
15,6374.06,5181.0,23.03,22.59,680.7051
16,6374.06,5181.0,23.03,22.64,680.7051
17,6374.06,5181.0,23.03,22.77,680.7051
18,6327.60,5181.0,22.13,22.72,691.6949
19,6327.60,5181.0,22.13,22.67,691.6949
20,6327.60,5181.0,22.13,22.49,691.6949
21,6294.06,5181.0,21.48,22.18,703.5636
22,6294.06,5181.0,21.48,21.87,703.5636
23,6294.06,5181.0,21.48,21.74,703.5636
24,6212.45,5181.0,19.91,21.30,718.8545
25,6212.45,5181.0,19.91,20.85,718.8545
26,6212.45,5181.0,19.91,20.54,718.8545
27,6132.60,5181.0,18.37,19.92,727.5333
