iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,5181.0,N/A,N/A,nan
2,0.00,5181.0,N/A,N/A,nan
3,0.00,5181.0,N/A,N/A,nan
4,6676.73,5181.0,28.87,28.87,620.6692
5,6676.73,5181.0,28.87,28.87,620.6692
6,6676.73,5181.0,28.87,28.87,620.6692
7,6672.64,5181.0,28.79,28.85,622.4162
8,6672.64,5181.0,28.79,28.84,622.4162
9,6672.64,5181.0,28.79,28.82,622.4162
10,6572.24,5181.0,26.85,28.42,649.4404
11,6572.24,5181.0,26.85,28.02,649.4404
12,6572.24,5181.0,26.85,27.63,649.4404
13,6492.81,5181.0,25.32,26.93,655.3010
14,6492.81,5181.0,25.32,26.24,655.3010
15,6492.81,5181.0,25.32,25.93,655.3010
16,6442.36,5181.0,24.35,25.43,678.9111
17,6448.05,5181.0,24.46,24.95,678.3717
18,6448.05,5181.0,24.46,24.78,678.3717
19,6394.27,5181.0,23.42,24.40,683.3879
20,6389.31,5181.0,23.32,24.00,684.5919
21,6389.31,5181.0,23.32,23.79,684.5919
22,6312.03,5181.0,21.83,23.27,696.1697
23,6307.76,5181.0,21.75,22.73,696.8687
24,6307.76,5181.0,21.75,22.39,696.8687
25,6245.78,5181.0,20.55,21.84,708.5657
26,6243.66,5181.0,20.51,21.28,708.6485
27,6243.66,5181.0,20.51,21.01,708.6485
28,6216.29,5181.0,19.98,20.66,709.0061
29,6216.29,5181.0,19.98,20.31,709.0061
30,6216.29,5181.0,19.98,20.19,709.0061
31,6187.25,5181.0,19.42,19.98,724.0788
32,6187.25,5181.0,19.42,19.76,724.0788
33,6187.25,5181.0,19.42,19.65,724.0788
34,6111.18,5181.0,17.95,19.24,733.6808
35,6111.18,5181.0,17.95,18.83,733.6808
36,6111.18,5181.0,17.95,18.54,733.6808
37,6073.01,5181.0,17.22,18.10,740.6182
38,6073.01,5181.0,17.22,17.66,740.6182
39,6073.01,5181.0,17.22,17.51,740.6182
40,6099.38,5181.0,17.73,17.47,732.5737
41,6099.38,5181.0,17.73,17.42,732.5737
42,6099.38,5181.0,17.73,17.52,732.5737
43,6095.36,5181.0,17.65,17.61,737.3859
44,6095.36,5181.0,17.65,17.69,737.3859
45,6094.17,5181.0,17.63,17.67,737.5374
46,6038.08,5181.0,16.54,17.44,748.3030
47,6038.08,5181.0,16.54,17.20,748.3030
48,6035.83,5181.0,16.50,16.97,749.0828
49,5997.82,5181.0,15.77,16.60,754.8727
50,5997.82,5181.0,15.77,16.22,754.8727
51,6006.73,5181.0,15.94,16.10,750.9232
52,6011.13,5181.0,16.02,16.00,749.7495
53,6011.13,5181.0,16.02,15.90,749.7495
54,6020.64,5181.0,16.21,15.99,756.5152
55,6020.22,5181.0,16.20,16.08,756.3798
56,6020.22,5181.0,16.20,16.13,756.3798
57,6017.94,5181.0,16.15,16.16,753.4040
58,6017.94,5181.0,16.15,16.18,753.4040
59,6017.94,5181.0,16.15,16.17,753.4040
60,6001.15,5181.0,15.83,16.10,753.6000
61,6001.15,5181.0,15.83,16.02,753.6000
62,6001.15,5181.0,15.83,15.96,753.6000
63,6026.29,5181.0,16.32,15.99,752.0566
64,6026.29,5181.0,16.32,16.02,752.0566
65,6026.29,5181.0,16.32,16.12,752.0566
66,6006.06,5181.0,15.92,16.14,749.6343
67,6006.06,5181.0,15.92,16.16,749.6343
68,6004.77,5181.0,15.90,16.08,749.3313
69,6008.69,5181.0,15.98,16.01,750.7333
70,6008.69,5181.0,15.98,15.94,750.7333
71,5996.66,5181.0,15.74,15.90,753.4343
72,6003.45,5181.0,15.87,15.89,753.6788
73,6003.45,5181.0,15.87,15.89,753.6788
74,5956.10,5181.0,14.96,15.69,762.4424
75,5953.50,5181.0,14.91,15.47,762.5636
76,5953.50,5181.0,14.91,15.31,762.5636
77,5904.32,5181.0,13.96,14.92,763.8081
