iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,5181.0,N/A,N/A,nan
2,0.00,5181.0,N/A,N/A,nan
3,0.00,5181.0,N/A,N/A,nan
4,6524.65,5181.0,25.93,25.93,657.8409
5,6524.65,5181.0,25.93,25.93,657.8409
6,6524.65,5181.0,25.93,25.93,657.8409
7,6511.42,5181.0,25.68,25.87,651.8000
8,6511.42,5181.0,25.68,25.83,651.8000
9,6511.42,5181.0,25.68,25.78,651.8000
10,6524.88,5181.0,25.94,25.78,653.5232
11,6524.88,5181.0,25.94,25.78,653.5232
12,6524.88,5181.0,25.94,25.83,653.5232
13,6585.11,5181.0,27.10,26.12,648.0667
14,6585.11,5181.0,27.10,26.40,648.0667
15,6585.11,5181.0,27.10,26.64,648.0667
16,6541.68,5181.0,26.26,26.70,649.7192
17,6541.68,5181.0,26.26,26.77,649.7192
18,6541.68,5181.0,26.26,26.60,649.7192
19,6495.04,5181.0,25.36,26.25,650.1657
20,6495.04,5181.0,25.36,25.90,650.1657
21,6495.04,5181.0,25.36,25.72,650.1657
22,6466.23,5181.0,24.81,25.43,663.4929
23,6466.23,5181.0,24.81,25.14,663.4929
24,6466.23,5181.0,24.81,25.03,663.4929
25,6419.21,5181.0,23.90,24.74,672.6283
26,6419.21,5181.0,23.90,24.44,672.6283
27,6419.21,5181.0,23.90,24.26,672.6283
28,6420.76,5181.0,23.93,24.09,676.5293
29,6420.76,5181.0,23.93,23.91,676.5293
30,6420.76,5181.0,23.93,23.92,676.5293
31,6380.47,5181.0,23.15,23.77,687.2949
32,6380.47,5181.0,23.15,23.62,687.2949
33,6380.47,5181.0,23.15,23.46,687.2949
34,6299.09,5181.0,21.58,22.99,695.7091
35,6299.09,5181.0,21.58,22.52,695.7091
36,6299.09,5181.0,21.58,22.21,695.7091
37,6245.58,5181.0,20.55,21.69,700.9354
38,6245.58,5181.0,20.55,21.17,700.9354
39,6245.58,5181.0,20.55,20.96,700.9354
40,6239.08,5181.0,20.42,20.73,710.9475
41,6239.08,5181.0,20.42,20.50,710.9475
42,6239.08,5181.0,20.42,20.47,710.9475
43,6217.42,5181.0,20.00,20.36,712.7212
44,6217.42,5181.0,20.00,20.26,712.7212
45,6217.42,5181.0,20.00,20.17,712.7212
46,6183.56,5181.0,19.35,19.96,717.5717
47,6183.56,5181.0,19.35,19.74,717.5717
48,6183.56,5181.0,19.35,19.61,717.5717
49,6191.91,5181.0,19.51,19.51,719.5131
50,6191.91,5181.0,19.51,19.42,719.5131
51,6191.91,5181.0,19.51,19.45,719.5131
52,6164.15,5181.0,18.98,19.37,720.0606
