iteration,makespan,bks,optimality gap
1,0.00,Dynamic,0.00
2,0.00,Dynamic,0.00
3,0.00,Dynamic,0.00
4,6376.91,Dynamic,0.00
5,6376.91,Dynamic,0.00
6,6376.91,Dynamic,0.00
7,6360.84,Dynamic,0.00
8,6360.84,Dynamic,0.00
9,6360.84,Dynamic,0.00
10,6374.95,Dynamic,0.00
11,6374.95,Dynamic,0.00
12,6374.95,Dynamic,0.00
13,6443.72,Dynamic,0.00
14,6443.72,Dynamic,0.00
15,6443.72,Dynamic,0.00
16,6451.00,Dynamic,0.00
17,6448.93,Dynamic,0.00
18,6448.93,Dynamic,0.00
19,6444.65,Dynamic,0.00
20,6503.23,Dynamic,0.00
21,6503.23,Dynamic,0.00
22,6504.36,Dynamic,0.00
23,6556.94,Dynamic,0.00
24,6556.94,Dynamic,0.00
25,6556.94,Dynamic,0.00
26,6512.07,Dynamic,0.00
27,6512.07,Dynamic,0.00
28,6512.07,Dynamic,0.00
29,6482.27,Dynamic,0.00
30,6482.27,Dynamic,0.00
31,6482.27,Dynamic,0.00
32,6488.73,Dynamic,0.00
33,6488.73,Dynamic,0.00
34,6488.73,Dynamic,0.00
35,6467.96,Dynamic,0.00
36,6462.37,Dynamic,0.00
37,6462.37,Dynamic,0.00
38,6450.68,Dynamic,0.00
39,6445.44,Dynamic,0.00
40,6445.44,Dynamic,0.00
41,6457.31,Dynamic,0.00
42,6438.45,Dynamic,0.00
43,6438.45,Dynamic,0.00
44,6442.30,Dynamic,0.00
45,6433.37,Dynamic,0.00
46,6433.37,Dynamic,0.00
47,6433.37,Dynamic,0.00
48,6494.46,Dynamic,0.00
49,6494.46,Dynamic,0.00
50,6494.46,Dynamic,0.00
51,6510.09,Dynamic,0.00
52,6510.09,Dynamic,0.00
53,6510.09,Dynamic,0.00
54,6479.95,Dynamic,0.00
55,6479.95,Dynamic,0.00
56,6479.95,Dynamic,0.00
57,6460.74,Dynamic,0.00
58,6462.70,Dynamic,0.00
59,6462.70,Dynamic,0.00
60,6468.78,Dynamic,0.00
61,6467.87,Dynamic,0.00
62,6467.87,Dynamic,0.00
63,6431.45,Dynamic,0.00
64,6440.13,Dynamic,0.00
65,6440.13,Dynamic,0.00
66,6454.90,Dynamic,0.00
67,6463.99,Dynamic,0.00
68,6463.99,Dynamic,0.00
69,6451.56,Dynamic,0.00
70,6484.19,Dynamic,0.00
71,6484.19,Dynamic,0.00
72,6490.19,Dynamic,0.00
73,6519.71,Dynamic,0.00
74,6519.71,Dynamic,0.00
75,6520.74,Dynamic,0.00
76,6477.10,Dynamic,0.00
77,6477.10,Dynamic,0.00
78,6477.10,Dynamic,0.00
79,6445.39,Dynamic,0.00
80,6445.39,Dynamic,0.00
81,6445.39,Dynamic,0.00
82,6445.12,Dynamic,0.00
83,6445.12,Dynamic,0.00
84,6445.12,Dynamic,0.00
85,6383.74,Dynamic,0.00
86,6383.74,Dynamic,0.00
87,6383.74,Dynamic,0.00
88,6354.56,Dynamic,0.00
89,6354.56,Dynamic,0.00
90,6354.56,Dynamic,0.00
91,6339.44,Dynamic,0.00
92,6343.28,Dynamic,0.00
93,6343.28,Dynamic,0.00
94,6309.65,Dynamic,0.00
95,6311.51,Dynamic,0.00
96,6311.51,Dynamic,0.00
97,6296.30,Dynamic,0.00
98,6301.89,Dynamic,0.00
99,6301.89,Dynamic,0.00
100,6298.51,Dynamic,0.00
101,6297.45,Dynamic,0.00
102,6297.45,Dynamic,0.00
103,6317.01,Dynamic,0.00
104,6315.02,Dynamic,0.00
105,6315.02,Dynamic,0.00
106,6234.67,Dynamic,0.00
107,6237.35,Dynamic,0.00
108,6237.35,Dynamic,0.00
109,6210.06,Dynamic,0.00
110,6210.97,Dynamic,0.00
111,6210.97,Dynamic,0.00
112,6250.34,Dynamic,0.00
113,6252.88,Dynamic,0.00
114,6252.88,Dynamic,0.00
115,6270.85,Dynamic,0.00
116,6275.99,Dynamic,0.00
117,6275.99,Dynamic,0.00
118,6250.16,Dynamic,0.00
119,6236.64,Dynamic,0.00
120,6236.64,Dynamic,0.00
121,6213.07,Dynamic,0.00
122,6216.14,Dynamic,0.00
123,6216.14,Dynamic,0.00
124,6239.29,Dynamic,0.00
