iteration,makespan,bks,optimality gap
1,0.00,Dynamic,0.00
2,0.00,Dynamic,0.00
3,0.00,Dynamic,0.00
4,6250.51,Dynamic,0.00
5,6250.51,Dynamic,0.00
6,6250.51,Dynamic,0.00
7,6277.67,Dynamic,0.00
8,6277.67,Dynamic,0.00
9,6277.67,Dynamic,0.00
10,6268.94,Dynamic,0.00
11,6268.94,Dynamic,0.00
12,6268.94,Dynamic,0.00
13,6288.05,Dynamic,0.00
14,6288.05,Dynamic,0.00
15,6288.05,Dynamic,0.00
16,6315.20,Dynamic,0.00
17,6315.20,Dynamic,0.00
18,6315.20,Dynamic,0.00
19,6320.44,Dynamic,0.00
20,6320.44,Dynamic,0.00
21,6320.44,Dynamic,0.00
22,6332.19,Dynamic,0.00
23,6332.19,Dynamic,0.00
24,6332.19,Dynamic,0.00
25,6341.52,Dynamic,0.00
26,6341.52,Dynamic,0.00
27,6341.52,Dynamic,0.00
28,6367.58,Dynamic,0.00
29,6367.55,Dynamic,0.00
30,6367.55,Dynamic,0.00
31,6326.17,Dynamic,0.00
32,6324.67,Dynamic,0.00
33,6324.67,Dynamic,0.00
34,6340.15,Dynamic,0.00
35,6349.32,Dynamic,0.00
36,6349.32,Dynamic,0.00
37,6366.70,Dynamic,0.00
38,6352.87,Dynamic,0.00
39,6352.87,Dynamic,0.00
40,6350.12,Dynamic,0.00
41,6357.46,Dynamic,0.00
42,6357.46,Dynamic,0.00
43,6359.12,Dynamic,0.00
44,6353.29,Dynamic,0.00
45,6353.29,Dynamic,0.00
46,6352.39,Dynamic,0.00
47,6336.93,Dynamic,0.00
48,6336.93,Dynamic,0.00
49,6335.88,Dynamic,0.00
50,6303.88,Dynamic,0.00
51,6303.88,Dynamic,0.00
52,6303.88,Dynamic,0.00
53,6283.76,Dynamic,0.00
54,6283.76,Dynamic,0.00
55,6283.76,Dynamic,0.00
56,6288.14,Dynamic,0.00
57,6288.14,Dynamic,0.00
58,6288.14,Dynamic,0.00
59,6285.41,Dynamic,0.00
60,6285.41,Dynamic,0.00
61,6285.41,Dynamic,0.00
62,6328.51,Dynamic,0.00
63,6328.51,Dynamic,0.00
64,6328.51,Dynamic,0.00
65,6305.27,Dynamic,0.00
66,6305.27,Dynamic,0.00
67,6305.27,Dynamic,0.00
68,6288.77,Dynamic,0.00
69,6288.77,Dynamic,0.00
70,6288.77,Dynamic,0.00
71,6245.18,Dynamic,0.00
72,6245.18,Dynamic,0.00
73,6245.18,Dynamic,0.00
74,6250.33,Dynamic,0.00
75,6250.33,Dynamic,0.00
76,6250.33,Dynamic,0.00
77,6286.37,Dynamic,0.00
78,6286.37,Dynamic,0.00
79,6286.37,Dynamic,0.00
80,6300.97,Dynamic,0.00
81,6300.97,Dynamic,0.00
82,6300.97,Dynamic,0.00
83,6268.13,Dynamic,0.00
84,6268.13,Dynamic,0.00
85,6268.13,Dynamic,0.00
86,6252.62,Dynamic,0.00
87,6252.62,Dynamic,0.00
88,6252.62,Dynamic,0.00
89,6260.39,Dynamic,0.00
90,6258.87,Dynamic,0.00
91,6258.87,Dynamic,0.00
92,6233.48,Dynamic,0.00
93,6230.66,Dynamic,0.00
94,6230.66,Dynamic,0.00
95,6225.21,Dynamic,0.00
96,6225.75,Dynamic,0.00
97,6225.75,Dynamic,0.00
98,6238.18,Dynamic,0.00
99,6240.19,Dynamic,0.00
100,6240.19,Dynamic,0.00
101,6249.76,Dynamic,0.00
102,6253.73,Dynamic,0.00
103,6253.73,Dynamic,0.00
104,6205.90,Dynamic,0.00
105,6211.04,Dynamic,0.00
106,6211.04,Dynamic,0.00
107,6248.24,Dynamic,0.00
108,6253.66,Dynamic,0.00
109,6253.66,Dynamic,0.00
110,6256.85,Dynamic,0.00
111,6253.99,Dynamic,0.00
112,6253.99,Dynamic,0.00
113,6233.51,Dynamic,0.00
114,6235.28,Dynamic,0.00
115,6235.28,Dynamic,0.00
116,6233.60,Dynamic,0.00
117,6249.31,Dynamic,0.00
118,6249.31,Dynamic,0.00
119,6259.38,Dynamic,0.00
120,6264.70,Dynamic,0.00
121,6264.70,Dynamic,0.00
122,6197.79,Dynamic,0.00
123,6185.48,Dynamic,0.00
124,6185.48,Dynamic,0.00
