instance,gen,makespan,gap_bks,gap_lb,elapsed
ta41,0,2619,30.623441396508728,43.114754098360656,9.543990017846227e-06
ta41,1,2559,27.630922693266836,39.83606557377049,2.533257627976127
ta42,0,2549,31.595250387196693,44.747302668938104,2.202601172029972e-05
ta42,1,2484,28.239545689210114,41.05621805792163,2.931976147025125
ta43,0,2476,34.12784398699892,46.162927981109796,8.089002221822739e-06
ta43,1,2476,34.12784398699892,46.162927981109796,2.7334018030087464
ta44,0,2592,30.97524002021223,45.04756575265809,7.498019840568304e-06
ta44,1,2576,30.166750884284994,44.15221040850588,2.571434956014855
ta45,0,2571,28.743114672008012,48.52686308492201,2.5484972866252065e-05
ta45,1,2571,28.743114672008012,48.52686308492201,2.6675342569942586
ta46,0,2588,29.141716566866265,39.439655172413794,9.283015970140696e-06
ta46,1,2587,29.091816367265473,39.38577586206897,2.5823319960036315
ta47,0,2442,29.274748544203284,44.49704142011834,1.9033002899959683e-05
ta47,1,2431,28.692429857067232,43.84615384615385,2.423497084993869
ta48,0,2510,29.58182756840475,43.92201834862385,1.582299591973424e-05
ta48,1,2476,27.826535880227155,41.97247706422018,2.5457395570119843
ta49,0,2486,26.836734693877553,41.41069397042093,3.8062018575146794e-05
ta49,1,2486,26.836734693877553,41.41069397042093,2.5712994320201688
