Model Group,Instance,BKS,Achieved Result,Gap (%)
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta71,5464,6543,19.75
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta72,5181,6053,16.83
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta73,5568,6550,17.64
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta74,5339,6516,22.05
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta75,5392,6544,21.36
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta76,5342,6677,24.99
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta77,5436,6432,18.32
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta78,5394,6311,17.0
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta79,5358,6382,19.11
PPO_ta72_warm_HGA_27032026 [ta71-ta80],ta80,5183,6179,19.22
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta71,5464,6669,22.05
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta72,5181,6037,16.52
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta73,5568,6981,25.38
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta74,5339,6349,18.92
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta75,5392,6959,29.06
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta76,5342,6655,24.58
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta77,5436,6695,23.16
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta78,5394,6425,19.11
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta79,5358,6760,26.17
PPO_ta72_warm_GN_25032026 [ta71-ta80],ta80,5183,6506,25.53
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta61,2868,3838,33.82
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta62,2869,3541,23.42
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta63,2755,3776,37.06
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta64,2702,3673,35.94
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta65,2725,3450,26.61
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta66,2845,3862,35.75
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta67,2825,3632,28.57
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta68,2784,3648,31.03
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta69,3071,4086,33.05
PPO_ta62_warm_GN_25032026 [ta61-ta70],ta70,2995,4087,36.46
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta51,2760,3661,32.64
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta52,2756,3211,16.51
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta53,2717,3305,21.64
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta54,2839,3623,27.62
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta55,2679,3654,36.39
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta56,2781,3885,39.7
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta57,2943,3730,26.74
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta58,2885,3660,26.86
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta59,2655,3403,28.17
PPO_ta52_warm_GN_27032026 [ta51-ta60],ta60,2723,3470,27.43
