Model Group,Instance,BKS,Achieved Result,Gap (%)
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta41,2005,3085,53.87
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta42,1937,2195,13.32
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta43,1846,2875,55.74
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta44,1979,2749,38.91
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta45,1997,2783,39.36
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta46,2004,2783,38.87
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta47,1889,2924,54.79
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta48,1937,2677,38.2
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta49,1960,3049,55.56
PPO_ta42_checkpoint_18032026 [ta41-ta50],ta50,1923,2680,39.37
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta51,2760,3594,30.22
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta52,2756,3211,16.51
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta53,2717,3240,19.25
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta54,2839,3573,25.85
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta55,2679,3243,21.05
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta56,2781,3837,37.97
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta57,2943,3529,19.91
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta58,2885,3438,19.17
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta59,2655,3512,32.28
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta60,2723,3287,20.71
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta61,2868,3931,37.06
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta62,2869,3663,27.68
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta63,2755,3649,32.45
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta64,2702,3765,39.34
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta65,2725,3535,29.72
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta66,2845,3817,34.17
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta67,2825,3743,32.5
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta68,2784,3623,30.14
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta69,3071,4006,30.45
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta70,2995,4111,37.26
PPO_ta72_18032026 [ta71-ta80],ta71,5464,6816,24.74
PPO_ta72_18032026 [ta71-ta80],ta72,5181,6280,21.21
PPO_ta72_18032026 [ta71-ta80],ta73,5568,6511,16.94
PPO_ta72_18032026 [ta71-ta80],ta74,5339,6337,18.69
PPO_ta72_18032026 [ta71-ta80],ta75,5392,6848,27.0
PPO_ta72_18032026 [ta71-ta80],ta76,5342,6459,20.91
PPO_ta72_18032026 [ta71-ta80],ta77,5436,6462,18.87
PPO_ta72_18032026 [ta71-ta80],ta78,5394,6547,21.38
PPO_ta72_18032026 [ta71-ta80],ta79,5358,6573,22.68
PPO_ta72_18032026 [ta71-ta80],ta80,5183,6389,23.27
