Model Group,Instance,BKS,Achieved Result,Gap (%)
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta41,2005,2963,47.78
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta42,1937,2364,22.04
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta43,1846,2631,42.52
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta44,1979,2792,41.08
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta45,1997,2820,41.21
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta46,2004,2882,43.81
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta47,1889,3229,70.94
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta48,1937,2910,50.23
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta49,1960,2756,40.61
PPO_ta42_checkpoint_19032026 [ta41-ta50],ta50,1923,2719,41.39
PPO_ta52_checkpoint19032026 [ta51-ta60],ta51,2760,4231,53.3
PPO_ta52_checkpoint19032026 [ta51-ta60],ta52,2756,3259,18.25
PPO_ta52_checkpoint19032026 [ta51-ta60],ta53,2717,3307,21.72
PPO_ta52_checkpoint19032026 [ta51-ta60],ta54,2839,3555,25.22
PPO_ta52_checkpoint19032026 [ta51-ta60],ta55,2679,3375,25.98
PPO_ta52_checkpoint19032026 [ta51-ta60],ta56,2781,3626,30.38
PPO_ta52_checkpoint19032026 [ta51-ta60],ta57,2943,3505,19.1
PPO_ta52_checkpoint19032026 [ta51-ta60],ta58,2885,3783,31.13
PPO_ta52_checkpoint19032026 [ta51-ta60],ta59,2655,3666,38.08
PPO_ta52_checkpoint19032026 [ta51-ta60],ta60,2723,3377,24.02
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta61,2868,4296,49.79
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta62,2869,3855,34.37
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta63,2755,3417,24.03
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta64,2702,3858,42.78
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta65,2725,3804,39.6
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta66,2845,4278,50.37
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta67,2825,3881,37.38
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta68,2784,3635,30.57
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta69,3071,4149,35.1
PPO_ta62_checkpoint_20032026 [ta61-ta70],ta70,2995,4016,34.09
PPO_ta72_18032026 [ta71-ta80],ta71,5464,6436,17.79
PPO_ta72_18032026 [ta71-ta80],ta72,5181,6298,21.56
PPO_ta72_18032026 [ta71-ta80],ta73,5568,6922,24.32
PPO_ta72_18032026 [ta71-ta80],ta74,5339,6440,20.62
PPO_ta72_18032026 [ta71-ta80],ta75,5392,6708,24.41
PPO_ta72_18032026 [ta71-ta80],ta76,5342,6495,21.58
PPO_ta72_18032026 [ta71-ta80],ta77,5436,6814,25.35
PPO_ta72_18032026 [ta71-ta80],ta78,5394,6522,20.91
PPO_ta72_18032026 [ta71-ta80],ta79,5358,6595,23.09
PPO_ta72_18032026 [ta71-ta80],ta80,5183,6581,26.97
